[2022/07/16 15:40:59] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../../cifar-data', epochs=100, epsilon=8, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='./results/715_2_at_res18eca/', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='res18_eca', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2022/07/16 15:41:02] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2022/07/16 15:43:08] - 0 	 94.2 	 	 31.4 	 	 0.1000 	 1.9378 	 0.3034 	 2.1800 	 	 0.1912 	 	 1.8151 	 0.3496 	 2.0345 	 	 0.2404
[2022/07/16 15:45:13] - 1 	 94.6 	 	 30.3 	 	 0.1000 	 1.7615 	 0.3743 	 2.0365 	 	 0.2387 	 	 1.6837 	 0.4007 	 1.9427 	 	 0.2735
[2022/07/16 15:47:16] - 2 	 92.0 	 	 30.9 	 	 0.1000 	 1.6853 	 0.4035 	 1.9846 	 	 0.2571 	 	 1.6523 	 0.4228 	 1.9257 	 	 0.2954
[2022/07/16 15:49:22] - 3 	 94.0 	 	 31.4 	 	 0.1000 	 1.6325 	 0.4287 	 1.9495 	 	 0.2701 	 	 1.5888 	 0.4395 	 1.8863 	 	 0.3006
[2022/07/16 15:51:27] - 4 	 95.0 	 	 30.3 	 	 0.1000 	 1.5897 	 0.4441 	 1.9222 	 	 0.2763 	 	 1.5531 	 0.4860 	 1.8645 	 	 0.3098
[2022/07/16 15:53:32] - 5 	 93.5 	 	 30.4 	 	 0.1000 	 1.5621 	 0.4606 	 1.9047 	 	 0.2857 	 	 1.5084 	 0.4999 	 1.8278 	 	 0.3233
[2022/07/16 15:55:31] - 6 	 91.3 	 	 27.7 	 	 0.1000 	 1.5287 	 0.4751 	 1.8853 	 	 0.2911 	 	 1.4518 	 0.4846 	 1.8232 	 	 0.3109
[2022/07/16 15:57:30] - 7 	 89.3 	 	 30.2 	 	 0.1000 	 1.4981 	 0.4892 	 1.8665 	 	 0.2964 	 	 1.4514 	 0.5024 	 1.8053 	 	 0.3270
[2022/07/16 15:59:40] - 8 	 99.3 	 	 30.1 	 	 0.1000 	 1.4822 	 0.4973 	 1.8558 	 	 0.3016 	 	 1.3885 	 0.5270 	 1.7885 	 	 0.3249
[2022/07/16 16:01:41] - 9 	 91.2 	 	 30.5 	 	 0.1000 	 1.4649 	 0.5065 	 1.8467 	 	 0.3057 	 	 1.4154 	 0.5189 	 1.7893 	 	 0.3287
[2022/07/16 16:03:42] - 10 	 90.6 	 	 30.1 	 	 0.1000 	 1.4488 	 0.5140 	 1.8368 	 	 0.3113 	 	 1.4003 	 0.5081 	 1.7969 	 	 0.3274
[2022/07/16 16:05:45] - 11 	 92.9 	 	 29.5 	 	 0.1000 	 1.4331 	 0.5214 	 1.8270 	 	 0.3140 	 	 1.4106 	 0.5401 	 1.7774 	 	 0.3409
[2022/07/16 16:07:45] - 12 	 89.6 	 	 30.5 	 	 0.1000 	 1.4241 	 0.5226 	 1.8208 	 	 0.3148 	 	 1.3596 	 0.5305 	 1.7720 	 	 0.3388
[2022/07/16 16:09:48] - 13 	 92.7 	 	 30.5 	 	 0.1000 	 1.4114 	 0.5298 	 1.8148 	 	 0.3174 	 	 1.3658 	 0.5478 	 1.7521 	 	 0.3477
[2022/07/16 16:11:51] - 14 	 92.0 	 	 29.9 	 	 0.1000 	 1.3986 	 0.5373 	 1.8057 	 	 0.3207 	 	 1.3516 	 0.5377 	 1.7504 	 	 0.3409
[2022/07/16 16:13:50] - 15 	 89.5 	 	 30.2 	 	 0.1000 	 1.3960 	 0.5363 	 1.8044 	 	 0.3205 	 	 1.3725 	 0.5701 	 1.7571 	 	 0.3484
[2022/07/16 16:15:53] - 16 	 90.2 	 	 32.0 	 	 0.1000 	 1.3854 	 0.5445 	 1.7987 	 	 0.3242 	 	 1.3387 	 0.5288 	 1.7456 	 	 0.3405
[2022/07/16 16:17:56] - 17 	 91.7 	 	 31.6 	 	 0.1000 	 1.3751 	 0.5466 	 1.7914 	 	 0.3263 	 	 1.3613 	 0.5178 	 1.7549 	 	 0.3427
[2022/07/16 16:19:57] - 18 	 89.4 	 	 31.0 	 	 0.1000 	 1.3712 	 0.5485 	 1.7915 	 	 0.3245 	 	 1.3702 	 0.5242 	 1.7505 	 	 0.3472
[2022/07/16 16:21:56] - 19 	 88.3 	 	 31.2 	 	 0.1000 	 1.3654 	 0.5543 	 1.7870 	 	 0.3300 	 	 1.2901 	 0.5537 	 1.7407 	 	 0.3494
[2022/07/16 16:23:54] - 20 	 88.5 	 	 29.3 	 	 0.1000 	 1.3561 	 0.5545 	 1.7811 	 	 0.3288 	 	 1.2963 	 0.5685 	 1.7253 	 	 0.3630
[2022/07/16 16:25:55] - 21 	 89.4 	 	 31.5 	 	 0.1000 	 1.3501 	 0.5592 	 1.7766 	 	 0.3314 	 	 1.3068 	 0.5742 	 1.7207 	 	 0.3565
[2022/07/16 16:27:59] - 22 	 91.6 	 	 31.8 	 	 0.1000 	 1.3486 	 0.5589 	 1.7774 	 	 0.3314 	 	 1.3212 	 0.5633 	 1.7291 	 	 0.3488
[2022/07/16 16:30:02] - 23 	 90.6 	 	 32.4 	 	 0.1000 	 1.3400 	 0.5614 	 1.7709 	 	 0.3352 	 	 1.3127 	 0.5510 	 1.7225 	 	 0.3616
[2022/07/16 16:32:00] - 24 	 88.9 	 	 29.6 	 	 0.1000 	 1.3429 	 0.5600 	 1.7749 	 	 0.3334 	 	 1.3136 	 0.5760 	 1.7116 	 	 0.3667
[2022/07/16 16:34:00] - 25 	 89.1 	 	 30.4 	 	 0.1000 	 1.3340 	 0.5664 	 1.7675 	 	 0.3336 	 	 1.2909 	 0.5577 	 1.7318 	 	 0.3486
[2022/07/16 16:35:59] - 26 	 89.2 	 	 29.5 	 	 0.1000 	 1.3339 	 0.5659 	 1.7679 	 	 0.3356 	 	 1.3031 	 0.5729 	 1.7223 	 	 0.3553
[2022/07/16 16:37:59] - 27 	 90.8 	 	 29.5 	 	 0.1000 	 1.3301 	 0.5692 	 1.7662 	 	 0.3343 	 	 1.2704 	 0.5770 	 1.7102 	 	 0.3628
[2022/07/16 16:40:03] - 28 	 92.9 	 	 31.5 	 	 0.1000 	 1.3216 	 0.5725 	 1.7622 	 	 0.3390 	 	 1.3233 	 0.5679 	 1.7456 	 	 0.3461
[2022/07/16 16:42:05] - 29 	 92.4 	 	 29.2 	 	 0.1000 	 1.3270 	 0.5690 	 1.7635 	 	 0.3348 	 	 1.2958 	 0.5811 	 1.7050 	 	 0.3603
[2022/07/16 16:44:06] - 30 	 91.1 	 	 29.3 	 	 0.1000 	 1.3234 	 0.5713 	 1.7619 	 	 0.3364 	 	 1.3100 	 0.5652 	 1.7156 	 	 0.3590
[2022/07/16 16:46:06] - 31 	 89.3 	 	 31.2 	 	 0.1000 	 1.3139 	 0.5743 	 1.7561 	 	 0.3413 	 	 1.3001 	 0.5731 	 1.7267 	 	 0.3560
[2022/07/16 16:48:09] - 32 	 92.7 	 	 29.9 	 	 0.1000 	 1.3136 	 0.5747 	 1.7548 	 	 0.3406 	 	 1.2601 	 0.6037 	 1.7125 	 	 0.3587
[2022/07/16 16:50:07] - 33 	 89.0 	 	 29.4 	 	 0.1000 	 1.3162 	 0.5740 	 1.7589 	 	 0.3391 	 	 1.2908 	 0.5918 	 1.7046 	 	 0.3635
[2022/07/16 16:52:06] - 34 	 88.8 	 	 29.7 	 	 0.1000 	 1.3125 	 0.5776 	 1.7554 	 	 0.3399 	 	 1.3156 	 0.5895 	 1.7337 	 	 0.3589
[2022/07/16 16:54:04] - 35 	 89.0 	 	 29.4 	 	 0.1000 	 1.3112 	 0.5773 	 1.7546 	 	 0.3425 	 	 1.2597 	 0.5843 	 1.7147 	 	 0.3600
[2022/07/16 16:56:02] - 36 	 88.8 	 	 29.4 	 	 0.1000 	 1.3073 	 0.5768 	 1.7522 	 	 0.3420 	 	 1.2641 	 0.5987 	 1.6906 	 	 0.3718
[2022/07/16 16:58:00] - 37 	 88.3 	 	 29.2 	 	 0.1000 	 1.3025 	 0.5792 	 1.7495 	 	 0.3411 	 	 1.2885 	 0.5758 	 1.7058 	 	 0.3622
[2022/07/16 16:59:58] - 38 	 88.7 	 	 29.5 	 	 0.1000 	 1.3017 	 0.5814 	 1.7491 	 	 0.3414 	 	 1.2782 	 0.5884 	 1.6979 	 	 0.3713
[2022/07/16 17:01:56] - 39 	 88.4 	 	 29.2 	 	 0.1000 	 1.3023 	 0.5814 	 1.7493 	 	 0.3420 	 	 1.3026 	 0.5539 	 1.7071 	 	 0.3709
[2022/07/16 17:03:54] - 40 	 88.2 	 	 29.8 	 	 0.1000 	 1.3016 	 0.5830 	 1.7515 	 	 0.3413 	 	 1.2722 	 0.5844 	 1.7390 	 	 0.3485
[2022/07/16 17:05:51] - 41 	 88.0 	 	 29.2 	 	 0.1000 	 1.3008 	 0.5809 	 1.7495 	 	 0.3397 	 	 1.2551 	 0.5916 	 1.6949 	 	 0.3702
[2022/07/16 17:07:50] - 42 	 88.5 	 	 29.6 	 	 0.1000 	 1.2955 	 0.5859 	 1.7461 	 	 0.3447 	 	 1.2536 	 0.5778 	 1.6957 	 	 0.3683
[2022/07/16 17:09:48] - 43 	 89.4 	 	 29.4 	 	 0.1000 	 1.2972 	 0.5862 	 1.7488 	 	 0.3406 	 	 1.2669 	 0.5637 	 1.7017 	 	 0.3656
[2022/07/16 17:11:45] - 44 	 87.6 	 	 29.4 	 	 0.1000 	 1.2972 	 0.5856 	 1.7476 	 	 0.3443 	 	 1.2462 	 0.5976 	 1.7060 	 	 0.3597
[2022/07/16 17:13:56] - 45 	 98.4 	 	 31.9 	 	 0.1000 	 1.2977 	 0.5828 	 1.7486 	 	 0.3433 	 	 1.2983 	 0.5650 	 1.7632 	 	 0.3398
[2022/07/16 17:16:11] - 46 	 101.5 	 	 33.4 	 	 0.1000 	 1.2919 	 0.5877 	 1.7418 	 	 0.3435 	 	 1.2417 	 0.5974 	 1.7017 	 	 0.3710
[2022/07/16 17:18:23] - 47 	 100.6 	 	 32.2 	 	 0.1000 	 1.2921 	 0.5838 	 1.7441 	 	 0.3421 	 	 1.2507 	 0.5802 	 1.7006 	 	 0.3666
[2022/07/16 17:20:37] - 48 	 101.3 	 	 32.2 	 	 0.1000 	 1.2933 	 0.5863 	 1.7452 	 	 0.3432 	 	 1.2675 	 0.5914 	 1.7272 	 	 0.3590
[2022/07/16 17:22:50] - 49 	 101.7 	 	 31.8 	 	 0.0100 	 1.2908 	 0.5867 	 1.7423 	 	 0.3437 	 	 1.2033 	 0.5899 	 1.7079 	 	 0.3569
[2022/07/16 17:25:07] - 50 	 101.8 	 	 34.2 	 	 0.0100 	 1.1878 	 0.6269 	 1.6275 	 	 0.3812 	 	 1.0860 	 0.6515 	 1.5818 	 	 0.3987
[2022/07/16 17:27:16] - 51 	 97.3 	 	 31.7 	 	 0.0100 	 1.1372 	 0.6439 	 1.5918 	 	 0.3957 	 	 1.0768 	 0.6518 	 1.6359 	 	 0.3885
[2022/07/16 17:29:19] - 52 	 91.1 	 	 31.7 	 	 0.0100 	 1.1186 	 0.6527 	 1.5798 	 	 0.4007 	 	 1.0734 	 0.6698 	 1.5806 	 	 0.4079
[2022/07/16 17:31:21] - 53 	 91.6 	 	 30.6 	 	 0.0100 	 1.1095 	 0.6556 	 1.5715 	 	 0.4029 	 	 1.0505 	 0.6650 	 1.5661 	 	 0.4118
[2022/07/16 17:33:19] - 54 	 88.6 	 	 29.2 	 	 0.0100 	 1.0971 	 0.6590 	 1.5647 	 	 0.4060 	 	 1.0747 	 0.6598 	 1.5667 	 	 0.4142
[2022/07/16 17:35:22] - 55 	 93.4 	 	 29.6 	 	 0.0100 	 1.0890 	 0.6655 	 1.5612 	 	 0.4043 	 	 1.0442 	 0.6602 	 1.5769 	 	 0.4028
[2022/07/16 17:37:22] - 56 	 90.1 	 	 29.7 	 	 0.0100 	 1.0809 	 0.6682 	 1.5525 	 	 0.4084 	 	 1.0696 	 0.6767 	 1.5548 	 	 0.4230
[2022/07/16 17:39:21] - 57 	 88.8 	 	 29.4 	 	 0.0100 	 1.0768 	 0.6699 	 1.5504 	 	 0.4090 	 	 1.0586 	 0.6656 	 1.5618 	 	 0.4186
[2022/07/16 17:41:20] - 58 	 90.5 	 	 29.2 	 	 0.0100 	 1.0698 	 0.6715 	 1.5469 	 	 0.4102 	 	 1.0613 	 0.6518 	 1.6281 	 	 0.3914
