[2022/07/15 23:06:49] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../../cifar-data', epochs=100, epsilon=8, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='./results/715_3_at_res34/', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='res34', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2022/07/15 23:06:52] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2022/07/15 23:15:01] - 0 	 359.8 	 	 129.0 	 	 0.1000 	 2.1969 	 0.1989 	 2.3230 	 	 0.1615 	 	 2.0315 	 0.2580 	 2.1369 	 	 0.2117
[2022/07/15 23:23:11] - 1 	 360.2 	 	 129.0 	 	 0.1000 	 1.9119 	 0.3028 	 2.0948 	 	 0.2206 	 	 1.7793 	 0.3607 	 1.9876 	 	 0.2562
[2022/07/15 23:31:20] - 2 	 360.3 	 	 129.2 	 	 0.1000 	 1.7554 	 0.3671 	 2.0014 	 	 0.2523 	 	 1.6962 	 0.3860 	 1.9271 	 	 0.2773
[2022/07/15 23:39:30] - 3 	 360.3 	 	 129.2 	 	 0.1000 	 1.6556 	 0.4101 	 1.9398 	 	 0.2720 	 	 1.6016 	 0.4330 	 1.8579 	 	 0.3115
[2022/07/15 23:47:40] - 4 	 360.2 	 	 129.1 	 	 0.1000 	 1.5731 	 0.4449 	 1.8910 	 	 0.2901 	 	 1.5011 	 0.4654 	 1.7997 	 	 0.3160
[2022/07/15 23:55:50] - 5 	 360.3 	 	 129.2 	 	 0.1000 	 1.5035 	 0.4780 	 1.8507 	 	 0.3045 	 	 1.4303 	 0.5099 	 1.7707 	 	 0.3385
[2022/07/16 00:04:00] - 6 	 360.3 	 	 129.2 	 	 0.1000 	 1.4305 	 0.5136 	 1.8065 	 	 0.3210 	 	 1.3691 	 0.5475 	 1.7338 	 	 0.3472
[2022/07/16 00:12:10] - 7 	 360.2 	 	 129.2 	 	 0.1000 	 1.3502 	 0.5483 	 1.7549 	 	 0.3408 	 	 1.2857 	 0.5594 	 1.6809 	 	 0.3742
[2022/07/16 00:20:19] - 8 	 360.2 	 	 129.2 	 	 0.1000 	 1.2962 	 0.5708 	 1.7222 	 	 0.3479 	 	 1.2269 	 0.5943 	 1.6463 	 	 0.3839
[2022/07/16 00:28:29] - 9 	 360.2 	 	 129.2 	 	 0.1000 	 1.2467 	 0.5936 	 1.6893 	 	 0.3601 	 	 1.1954 	 0.6245 	 1.6195 	 	 0.3929
[2022/07/16 00:36:39] - 10 	 360.3 	 	 129.2 	 	 0.1000 	 1.2104 	 0.6133 	 1.6682 	 	 0.3692 	 	 1.1261 	 0.6341 	 1.6079 	 	 0.3889
[2022/07/16 00:44:49] - 11 	 360.3 	 	 129.1 	 	 0.1000 	 1.1662 	 0.6309 	 1.6396 	 	 0.3822 	 	 1.1701 	 0.6311 	 1.6152 	 	 0.3918
[2022/07/16 00:52:58] - 12 	 360.2 	 	 129.0 	 	 0.1000 	 1.1374 	 0.6481 	 1.6193 	 	 0.3883 	 	 1.0885 	 0.6487 	 1.5454 	 	 0.4203
[2022/07/16 01:01:08] - 13 	 360.2 	 	 129.0 	 	 0.1000 	 1.1039 	 0.6607 	 1.5968 	 	 0.3970 	 	 1.1147 	 0.6517 	 1.5661 	 	 0.4109
[2022/07/16 01:09:17] - 14 	 360.2 	 	 129.1 	 	 0.1000 	 1.0808 	 0.6714 	 1.5809 	 	 0.4000 	 	 1.0576 	 0.6757 	 1.5566 	 	 0.4134
[2022/07/16 01:17:26] - 15 	 360.2 	 	 129.1 	 	 0.1000 	 1.0591 	 0.6798 	 1.5654 	 	 0.4061 	 	 1.0994 	 0.6376 	 1.5465 	 	 0.4176
[2022/07/16 01:25:36] - 16 	 360.2 	 	 129.1 	 	 0.1000 	 1.0410 	 0.6865 	 1.5519 	 	 0.4137 	 	 0.9984 	 0.6971 	 1.4969 	 	 0.4393
[2022/07/16 01:33:45] - 17 	 360.2 	 	 129.0 	 	 0.1000 	 1.0224 	 0.6942 	 1.5403 	 	 0.4190 	 	 0.9931 	 0.6857 	 1.5276 	 	 0.4162
[2022/07/16 01:41:54] - 18 	 359.9 	 	 129.0 	 	 0.1000 	 1.0110 	 0.6979 	 1.5303 	 	 0.4220 	 	 0.9849 	 0.6980 	 1.4868 	 	 0.4441
[2022/07/16 01:50:03] - 19 	 360.0 	 	 128.9 	 	 0.1000 	 0.9920 	 0.7094 	 1.5175 	 	 0.4268 	 	 0.9832 	 0.7020 	 1.4968 	 	 0.4362
[2022/07/16 01:58:12] - 20 	 360.0 	 	 128.9 	 	 0.1000 	 0.9759 	 0.7172 	 1.5061 	 	 0.4328 	 	 0.9451 	 0.6989 	 1.5140 	 	 0.4334
[2022/07/16 02:06:21] - 21 	 360.0 	 	 128.9 	 	 0.1000 	 0.9662 	 0.7181 	 1.4993 	 	 0.4350 	 	 0.9816 	 0.6844 	 1.5093 	 	 0.4353
[2022/07/16 02:14:30] - 22 	 359.9 	 	 128.9 	 	 0.1000 	 0.9561 	 0.7222 	 1.4907 	 	 0.4363 	 	 0.9768 	 0.7073 	 1.4813 	 	 0.4402
[2022/07/16 02:22:39] - 23 	 359.8 	 	 128.9 	 	 0.1000 	 0.9521 	 0.7251 	 1.4906 	 	 0.4359 	 	 0.9698 	 0.7087 	 1.4772 	 	 0.4448
[2022/07/16 02:30:48] - 24 	 359.9 	 	 128.9 	 	 0.1000 	 0.9395 	 0.7276 	 1.4774 	 	 0.4415 	 	 0.9539 	 0.7298 	 1.4771 	 	 0.4462
[2022/07/16 02:38:57] - 25 	 359.8 	 	 129.0 	 	 0.1000 	 0.9278 	 0.7354 	 1.4732 	 	 0.4429 	 	 0.9691 	 0.7091 	 1.4947 	 	 0.4430
[2022/07/16 02:47:06] - 26 	 359.8 	 	 129.0 	 	 0.1000 	 0.9231 	 0.7345 	 1.4658 	 	 0.4440 	 	 0.9317 	 0.7058 	 1.4733 	 	 0.4450
[2022/07/16 02:55:15] - 27 	 359.9 	 	 128.9 	 	 0.1000 	 0.9142 	 0.7413 	 1.4597 	 	 0.4478 	 	 0.9433 	 0.7135 	 1.4535 	 	 0.4656
[2022/07/16 03:03:24] - 28 	 359.9 	 	 129.0 	 	 0.1000 	 0.9138 	 0.7416 	 1.4608 	 	 0.4492 	 	 0.8731 	 0.7351 	 1.4455 	 	 0.4489
[2022/07/16 03:11:33] - 29 	 359.9 	 	 129.0 	 	 0.1000 	 0.9009 	 0.7486 	 1.4485 	 	 0.4507 	 	 0.8956 	 0.7051 	 1.4935 	 	 0.4440
[2022/07/16 03:19:42] - 30 	 359.9 	 	 129.0 	 	 0.1000 	 0.8983 	 0.7489 	 1.4501 	 	 0.4504 	 	 0.9459 	 0.7016 	 1.4511 	 	 0.4601
[2022/07/16 03:27:51] - 31 	 360.0 	 	 129.0 	 	 0.1000 	 0.8945 	 0.7483 	 1.4445 	 	 0.4546 	 	 0.9216 	 0.6968 	 1.4610 	 	 0.4531
[2022/07/16 03:36:00] - 32 	 360.0 	 	 129.0 	 	 0.1000 	 0.8893 	 0.7519 	 1.4397 	 	 0.4539 	 	 0.8731 	 0.7364 	 1.4435 	 	 0.4516
[2022/07/16 03:44:09] - 33 	 360.0 	 	 129.0 	 	 0.1000 	 0.8813 	 0.7527 	 1.4355 	 	 0.4590 	 	 0.8922 	 0.7187 	 1.4813 	 	 0.4372
[2022/07/16 03:52:18] - 34 	 360.0 	 	 129.0 	 	 0.1000 	 0.8776 	 0.7565 	 1.4298 	 	 0.4596 	 	 0.8749 	 0.7231 	 1.4659 	 	 0.4493
[2022/07/16 04:00:27] - 35 	 360.0 	 	 129.0 	 	 0.1000 	 0.8759 	 0.7578 	 1.4319 	 	 0.4565 	 	 0.8648 	 0.7424 	 1.4377 	 	 0.4598
[2022/07/16 04:08:36] - 36 	 360.1 	 	 129.0 	 	 0.1000 	 0.8710 	 0.7594 	 1.4285 	 	 0.4599 	 	 0.8806 	 0.7301 	 1.4141 	 	 0.4647
[2022/07/16 04:16:46] - 37 	 360.1 	 	 129.0 	 	 0.1000 	 0.8652 	 0.7625 	 1.4237 	 	 0.4603 	 	 0.9029 	 0.7122 	 1.4303 	 	 0.4593
[2022/07/16 04:24:54] - 38 	 360.0 	 	 129.0 	 	 0.1000 	 0.8671 	 0.7575 	 1.4224 	 	 0.4611 	 	 0.8923 	 0.7231 	 1.4420 	 	 0.4582
[2022/07/16 04:33:03] - 39 	 359.9 	 	 128.9 	 	 0.1000 	 0.8602 	 0.7632 	 1.4212 	 	 0.4635 	 	 0.8825 	 0.7331 	 1.4398 	 	 0.4630
[2022/07/16 04:41:12] - 40 	 360.0 	 	 128.9 	 	 0.1000 	 0.8562 	 0.7657 	 1.4172 	 	 0.4652 	 	 0.8309 	 0.7559 	 1.4526 	 	 0.4601
[2022/07/16 04:49:21] - 41 	 360.0 	 	 129.0 	 	 0.1000 	 0.8543 	 0.7687 	 1.4170 	 	 0.4623 	 	 0.8888 	 0.7165 	 1.4212 	 	 0.4688
[2022/07/16 04:57:31] - 42 	 359.9 	 	 128.9 	 	 0.1000 	 0.8473 	 0.7673 	 1.4116 	 	 0.4653 	 	 0.8793 	 0.7259 	 1.4830 	 	 0.4502
[2022/07/16 05:05:40] - 43 	 359.9 	 	 129.0 	 	 0.1000 	 0.8482 	 0.7674 	 1.4102 	 	 0.4627 	 	 0.8508 	 0.7330 	 1.4241 	 	 0.4616
[2022/07/16 05:13:48] - 44 	 359.9 	 	 128.9 	 	 0.1000 	 0.8447 	 0.7666 	 1.4085 	 	 0.4670 	 	 0.9152 	 0.7302 	 1.4455 	 	 0.4654
[2022/07/16 05:21:57] - 45 	 359.8 	 	 128.9 	 	 0.1000 	 0.8458 	 0.7682 	 1.4094 	 	 0.4673 	 	 0.8664 	 0.7522 	 1.4404 	 	 0.4609
[2022/07/16 05:30:06] - 46 	 359.9 	 	 128.9 	 	 0.1000 	 0.8413 	 0.7716 	 1.4060 	 	 0.4659 	 	 0.8390 	 0.7594 	 1.4167 	 	 0.4684
[2022/07/16 05:38:15] - 47 	 359.8 	 	 128.9 	 	 0.1000 	 0.8387 	 0.7732 	 1.4047 	 	 0.4688 	 	 0.8140 	 0.7573 	 1.4381 	 	 0.4577
[2022/07/16 05:46:23] - 48 	 359.8 	 	 128.9 	 	 0.1000 	 0.8328 	 0.7747 	 1.3977 	 	 0.4700 	 	 0.8768 	 0.7338 	 1.4177 	 	 0.4728
[2022/07/16 05:54:33] - 49 	 359.9 	 	 128.9 	 	 0.0100 	 0.8304 	 0.7731 	 1.3958 	 	 0.4700 	 	 0.8852 	 0.7416 	 1.4115 	 	 0.4776
[2022/07/16 06:02:42] - 50 	 359.8 	 	 128.9 	 	 0.0100 	 0.6990 	 0.8151 	 1.1963 	 	 0.5404 	 	 0.6571 	 0.8040 	 1.2604 	 	 0.5193
[2022/07/16 06:10:51] - 51 	 359.8 	 	 128.9 	 	 0.0100 	 0.6292 	 0.8365 	 1.1318 	 	 0.5603 	 	 0.5960 	 0.8174 	 1.2842 	 	 0.5114
[2022/07/16 06:19:00] - 52 	 359.9 	 	 128.9 	 	 0.0100 	 0.5968 	 0.8468 	 1.0997 	 	 0.5719 	 	 0.6588 	 0.8070 	 1.2660 	 	 0.5228
[2022/07/16 06:27:09] - 53 	 360.0 	 	 128.9 	 	 0.0100 	 0.5793 	 0.8532 	 1.0800 	 	 0.5792 	 	 0.6169 	 0.8127 	 1.2493 	 	 0.5245
[2022/07/16 06:35:19] - 54 	 359.9 	 	 129.0 	 	 0.0100 	 0.5635 	 0.8588 	 1.0648 	 	 0.5842 	 	 0.6271 	 0.8271 	 1.2356 	 	 0.5360
[2022/07/16 06:43:28] - 55 	 359.9 	 	 128.9 	 	 0.0100 	 0.5442 	 0.8642 	 1.0453 	 	 0.5921 	 	 0.6070 	 0.8230 	 1.2497 	 	 0.5321
[2022/07/16 06:51:37] - 56 	 359.9 	 	 128.9 	 	 0.0100 	 0.5323 	 0.8692 	 1.0309 	 	 0.5956 	 	 0.6133 	 0.8170 	 1.2635 	 	 0.5259
[2022/07/16 06:59:45] - 57 	 359.9 	 	 128.9 	 	 0.0100 	 0.5181 	 0.8725 	 1.0198 	 	 0.5973 	 	 0.6199 	 0.8235 	 1.2654 	 	 0.5289
[2022/07/16 07:07:54] - 58 	 359.8 	 	 128.9 	 	 0.0100 	 0.5088 	 0.8786 	 1.0093 	 	 0.6008 	 	 0.5482 	 0.8359 	 1.2916 	 	 0.5158
[2022/07/16 07:16:03] - 59 	 359.8 	 	 129.0 	 	 0.0100 	 0.4955 	 0.8819 	 0.9961 	 	 0.6051 	 	 0.5884 	 0.8213 	 1.2742 	 	 0.5295
[2022/07/16 07:24:13] - 60 	 360.5 	 	 129.2 	 	 0.0100 	 0.4872 	 0.8843 	 0.9879 	 	 0.6078 	 	 0.5663 	 0.8395 	 1.2819 	 	 0.5240
[2022/07/16 07:32:24] - 61 	 361.2 	 	 129.5 	 	 0.0100 	 0.4778 	 0.8888 	 0.9794 	 	 0.6103 	 	 0.5651 	 0.8265 	 1.3156 	 	 0.5197
[2022/07/16 07:40:35] - 62 	 361.8 	 	 129.7 	 	 0.0100 	 0.4694 	 0.8914 	 0.9695 	 	 0.6141 	 	 0.5419 	 0.8329 	 1.4258 	 	 0.5012
[2022/07/16 07:48:47] - 63 	 362.1 	 	 130.0 	 	 0.0100 	 0.4593 	 0.8954 	 0.9590 	 	 0.6175 	 	 0.5579 	 0.8396 	 1.3082 	 	 0.5125
[2022/07/16 07:56:59] - 64 	 362.3 	 	 129.8 	 	 0.0100 	 0.4510 	 0.8974 	 0.9498 	 	 0.6177 	 	 0.5760 	 0.8294 	 1.3253 	 	 0.5151
[2022/07/16 08:05:12] - 65 	 362.4 	 	 130.0 	 	 0.0100 	 0.4438 	 0.9006 	 0.9444 	 	 0.6212 	 	 0.5521 	 0.8341 	 1.3005 	 	 0.5178
[2022/07/16 08:13:24] - 66 	 362.5 	 	 129.9 	 	 0.0100 	 0.4367 	 0.9039 	 0.9398 	 	 0.6211 	 	 0.5500 	 0.8342 	 1.3136 	 	 0.5138
[2022/07/16 08:21:36] - 67 	 362.5 	 	 129.8 	 	 0.0100 	 0.4297 	 0.9055 	 0.9302 	 	 0.6241 	 	 0.5922 	 0.8276 	 1.3187 	 	 0.5231
[2022/07/16 08:29:49] - 68 	 362.4 	 	 129.9 	 	 0.0100 	 0.4226 	 0.9085 	 0.9252 	 	 0.6260 	 	 0.5661 	 0.8343 	 1.3348 	 	 0.5143
[2022/07/16 08:38:01] - 69 	 362.5 	 	 129.8 	 	 0.0100 	 0.4186 	 0.9082 	 0.9199 	 	 0.6273 	 	 0.5550 	 0.8337 	 1.3594 	 	 0.5051
[2022/07/16 08:46:13] - 70 	 362.5 	 	 129.9 	 	 0.0100 	 0.4104 	 0.9117 	 0.9111 	 	 0.6329 	 	 0.5651 	 0.8287 	 1.3487 	 	 0.5151
[2022/07/16 08:54:26] - 71 	 362.5 	 	 129.8 	 	 0.0100 	 0.4077 	 0.9124 	 0.9067 	 	 0.6331 	 	 0.5774 	 0.8335 	 1.3521 	 	 0.5109
[2022/07/16 09:02:38] - 72 	 362.5 	 	 130.1 	 	 0.0100 	 0.4007 	 0.9155 	 0.8995 	 	 0.6332 	 	 0.5394 	 0.8365 	 1.4161 	 	 0.5016
[2022/07/16 09:10:50] - 73 	 361.8 	 	 129.4 	 	 0.0100 	 0.3959 	 0.9168 	 0.8965 	 	 0.6373 	 	 0.5484 	 0.8383 	 1.4353 	 	 0.4990
[2022/07/16 09:19:00] - 74 	 361.3 	 	 129.2 	 	 0.0010 	 0.3922 	 0.9185 	 0.8914 	 	 0.6374 	 	 0.5510 	 0.8361 	 1.3915 	 	 0.4986
[2022/07/16 09:27:10] - 75 	 361.1 	 	 129.3 	 	 0.0010 	 0.3431 	 0.9288 	 0.7638 	 	 0.6879 	 	 0.5020 	 0.8505 	 1.3837 	 	 0.5137
[2022/07/16 09:35:21] - 76 	 360.8 	 	 129.3 	 	 0.0010 	 0.3071 	 0.9366 	 0.7148 	 	 0.7041 	 	 0.4879 	 0.8578 	 1.4066 	 	 0.5153
[2022/07/16 09:43:31] - 77 	 360.9 	 	 129.3 	 	 0.0010 	 0.2926 	 0.9402 	 0.6919 	 	 0.7117 	 	 0.4695 	 0.8544 	 1.4974 	 	 0.5051
[2022/07/16 09:51:41] - 78 	 360.9 	 	 129.3 	 	 0.0010 	 0.2811 	 0.9424 	 0.6730 	 	 0.7188 	 	 0.4873 	 0.8524 	 1.4020 	 	 0.5182
[2022/07/16 09:59:51] - 79 	 360.8 	 	 129.2 	 	 0.0010 	 0.2725 	 0.9457 	 0.6608 	 	 0.7219 	 	 0.4885 	 0.8524 	 1.4355 	 	 0.5153
[2022/07/16 10:08:01] - 80 	 360.7 	 	 129.3 	 	 0.0010 	 0.2663 	 0.9470 	 0.6499 	 	 0.7275 	 	 0.4642 	 0.8607 	 1.5507 	 	 0.4980
[2022/07/16 10:16:12] - 81 	 361.0 	 	 129.3 	 	 0.0010 	 0.2592 	 0.9484 	 0.6397 	 	 0.7314 	 	 0.4649 	 0.8586 	 1.5711 	 	 0.4993
[2022/07/16 10:24:22] - 82 	 360.9 	 	 129.3 	 	 0.0010 	 0.2538 	 0.9499 	 0.6307 	 	 0.7329 	 	 0.4745 	 0.8567 	 1.5102 	 	 0.5059
[2022/07/16 10:32:32] - 83 	 361.0 	 	 129.4 	 	 0.0010 	 0.2472 	 0.9517 	 0.6202 	 	 0.7368 	 	 0.4711 	 0.8546 	 1.5417 	 	 0.5053
[2022/07/16 10:40:42] - 84 	 361.1 	 	 129.3 	 	 0.0010 	 0.2428 	 0.9526 	 0.6129 	 	 0.7402 	 	 0.4601 	 0.8564 	 1.6140 	 	 0.4962
[2022/07/16 10:48:52] - 85 	 360.8 	 	 129.2 	 	 0.0010 	 0.2376 	 0.9534 	 0.6041 	 	 0.7424 	 	 0.4783 	 0.8514 	 1.6110 	 	 0.4947
[2022/07/16 10:57:02] - 86 	 360.7 	 	 129.3 	 	 0.0010 	 0.2349 	 0.9541 	 0.5977 	 	 0.7444 	 	 0.4615 	 0.8578 	 1.6282 	 	 0.4926
[2022/07/16 11:05:13] - 87 	 360.9 	 	 129.3 	 	 0.0010 	 0.2298 	 0.9566 	 0.5905 	 	 0.7477 	 	 0.4720 	 0.8535 	 1.5790 	 	 0.5027
[2022/07/16 11:13:23] - 88 	 360.8 	 	 129.3 	 	 0.0010 	 0.2264 	 0.9564 	 0.5837 	 	 0.7517 	 	 0.4754 	 0.8530 	 1.5595 	 	 0.4984
[2022/07/16 11:21:33] - 89 	 360.7 	 	 129.2 	 	 0.0010 	 0.2208 	 0.9580 	 0.5781 	 	 0.7526 	 	 0.4586 	 0.8569 	 1.7755 	 	 0.4789
[2022/07/16 11:29:43] - 90 	 360.7 	 	 129.3 	 	 0.0010 	 0.2174 	 0.9584 	 0.5707 	 	 0.7568 	 	 0.4606 	 0.8540 	 1.6554 	 	 0.4932
[2022/07/16 11:37:53] - 91 	 360.8 	 	 129.3 	 	 0.0010 	 0.2125 	 0.9603 	 0.5640 	 	 0.7571 	 	 0.4866 	 0.8490 	 1.5694 	 	 0.5038
[2022/07/16 11:46:03] - 92 	 360.8 	 	 129.2 	 	 0.0010 	 0.2104 	 0.9614 	 0.5614 	 	 0.7586 	 	 0.4624 	 0.8541 	 1.7434 	 	 0.4889
[2022/07/16 11:54:13] - 93 	 360.7 	 	 129.3 	 	 0.0010 	 0.2061 	 0.9618 	 0.5517 	 	 0.7632 	 	 0.4722 	 0.8561 	 1.7239 	 	 0.4872
[2022/07/16 12:02:23] - 94 	 360.8 	 	 129.2 	 	 0.0010 	 0.2030 	 0.9628 	 0.5466 	 	 0.7652 	 	 0.5002 	 0.8482 	 1.6173 	 	 0.4987
[2022/07/16 12:10:33] - 95 	 360.7 	 	 129.2 	 	 0.0010 	 0.2007 	 0.9641 	 0.5412 	 	 0.7685 	 	 0.4660 	 0.8537 	 1.7518 	 	 0.4894
[2022/07/16 12:18:43] - 96 	 360.7 	 	 129.2 	 	 0.0010 	 0.1970 	 0.9647 	 0.5386 	 	 0.7662 	 	 0.4767 	 0.8513 	 1.9180 	 	 0.4686
[2022/07/16 12:26:53] - 97 	 360.8 	 	 129.3 	 	 0.0010 	 0.1944 	 0.9657 	 0.5320 	 	 0.7692 	 	 0.4722 	 0.8512 	 1.7141 	 	 0.4880
[2022/07/16 12:35:03] - 98 	 360.7 	 	 129.2 	 	 0.0010 	 0.1904 	 0.9663 	 0.5269 	 	 0.7720 	 	 0.4775 	 0.8532 	 1.6865 	 	 0.4907
[2022/07/16 12:43:13] - 99 	 360.8 	 	 129.2 	 	 0.0010 	 0.1871 	 0.9679 	 0.5215 	 	 0.7751 	 	 0.4729 	 0.8520 	 1.8486 	 	 0.4776
