[2022/07/17 00:01:42] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../../cifar-data', epochs=100, epsilon=8, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='./results/716_11_at_res18nose/', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='res18_nose', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2022/07/17 00:01:47] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2022/07/17 00:05:40] - 0 	 172.7 	 	 60.8 	 	 0.1000 	 2.0351 	 0.2672 	 2.2528 	 	 0.1825 	 	 1.8474 	 0.3617 	 2.0487 	 	 0.2481
[2022/07/17 00:09:43] - 1 	 181.4 	 	 60.7 	 	 0.1000 	 1.8120 	 0.3535 	 2.0577 	 	 0.2353 	 	 1.7344 	 0.3983 	 1.9694 	 	 0.2722
[2022/07/17 00:13:42] - 2 	 178.1 	 	 60.1 	 	 0.1000 	 1.7290 	 0.3908 	 2.0048 	 	 0.2558 	 	 1.6553 	 0.4243 	 1.9249 	 	 0.2952
[2022/07/17 00:17:44] - 3 	 181.4 	 	 60.6 	 	 0.1000 	 1.6683 	 0.4153 	 1.9667 	 	 0.2675 	 	 1.6256 	 0.4234 	 1.9031 	 	 0.2918
[2022/07/17 00:21:46] - 4 	 181.4 	 	 60.5 	 	 0.1000 	 1.6219 	 0.4317 	 1.9386 	 	 0.2739 	 	 1.5679 	 0.4587 	 1.8757 	 	 0.3098
[2022/07/17 00:25:48] - 5 	 180.7 	 	 60.8 	 	 0.1000 	 1.5874 	 0.4482 	 1.9181 	 	 0.2833 	 	 1.5372 	 0.4597 	 1.8459 	 	 0.3201
[2022/07/17 00:29:47] - 6 	 178.6 	 	 59.8 	 	 0.1000 	 1.5503 	 0.4652 	 1.8947 	 	 0.2906 	 	 1.4739 	 0.4899 	 1.8381 	 	 0.3099
[2022/07/17 00:33:44] - 7 	 177.1 	 	 59.7 	 	 0.1000 	 1.5182 	 0.4830 	 1.8749 	 	 0.2975 	 	 1.4507 	 0.5028 	 1.8066 	 	 0.3207
[2022/07/17 00:37:43] - 8 	 178.0 	 	 60.3 	 	 0.1000 	 1.4953 	 0.4898 	 1.8639 	 	 0.3033 	 	 1.4868 	 0.5071 	 1.8093 	 	 0.3292
[2022/07/17 00:41:38] - 9 	 175.2 	 	 60.2 	 	 0.1000 	 1.4726 	 0.5002 	 1.8496 	 	 0.3068 	 	 1.4364 	 0.4988 	 1.7710 	 	 0.3427
[2022/07/17 00:45:36] - 10 	 175.6 	 	 61.3 	 	 0.1000 	 1.4591 	 0.5105 	 1.8429 	 	 0.3091 	 	 1.4076 	 0.5245 	 1.7783 	 	 0.3442
[2022/07/17 00:49:32] - 11 	 174.3 	 	 61.0 	 	 0.1000 	 1.4383 	 0.5202 	 1.8295 	 	 0.3136 	 	 1.4193 	 0.4899 	 1.7791 	 	 0.3317
[2022/07/17 00:53:28] - 12 	 175.1 	 	 61.8 	 	 0.1000 	 1.4307 	 0.5214 	 1.8251 	 	 0.3151 	 	 1.3520 	 0.5525 	 1.7576 	 	 0.3519
[2022/07/17 00:57:28] - 13 	 178.9 	 	 60.8 	 	 0.1000 	 1.4140 	 0.5336 	 1.8155 	 	 0.3199 	 	 1.3716 	 0.5551 	 1.7672 	 	 0.3394
[2022/07/17 01:01:29] - 14 	 180.2 	 	 60.7 	 	 0.1000 	 1.4015 	 0.5358 	 1.8058 	 	 0.3224 	 	 1.3683 	 0.5268 	 1.7808 	 	 0.3311
[2022/07/17 01:05:25] - 15 	 174.7 	 	 61.2 	 	 0.1000 	 1.3951 	 0.5388 	 1.8035 	 	 0.3228 	 	 1.3428 	 0.5475 	 1.7445 	 	 0.3462
[2022/07/17 01:09:20] - 16 	 173.7 	 	 61.3 	 	 0.1000 	 1.3850 	 0.5450 	 1.7990 	 	 0.3264 	 	 1.3489 	 0.5442 	 1.7403 	 	 0.3590
[2022/07/17 01:13:17] - 17 	 174.1 	 	 61.7 	 	 0.1000 	 1.3778 	 0.5468 	 1.7924 	 	 0.3282 	 	 1.3499 	 0.5551 	 1.7471 	 	 0.3441
[2022/07/17 01:17:15] - 18 	 176.0 	 	 61.9 	 	 0.1000 	 1.3649 	 0.5538 	 1.7864 	 	 0.3293 	 	 1.3168 	 0.5654 	 1.7132 	 	 0.3694
[2022/07/17 01:21:15] - 19 	 177.3 	 	 62.2 	 	 0.1000 	 1.3571 	 0.5569 	 1.7820 	 	 0.3318 	 	 1.2958 	 0.5697 	 1.7391 	 	 0.3499
[2022/07/17 01:25:11] - 20 	 174.4 	 	 61.9 	 	 0.1000 	 1.3497 	 0.5634 	 1.7751 	 	 0.3359 	 	 1.3118 	 0.5658 	 1.7244 	 	 0.3607
[2022/07/17 01:29:07] - 21 	 173.0 	 	 62.4 	 	 0.1000 	 1.3466 	 0.5597 	 1.7747 	 	 0.3326 	 	 1.2964 	 0.5572 	 1.7296 	 	 0.3490
[2022/07/17 01:33:06] - 22 	 176.4 	 	 62.6 	 	 0.1000 	 1.3429 	 0.5649 	 1.7744 	 	 0.3350 	 	 1.3297 	 0.5650 	 1.7165 	 	 0.3681
