[2022/07/17 00:01:48] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../../cifar-data', epochs=100, epsilon=8, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='./results/716_12_at_res18se/', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='res18_se', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2022/07/17 00:01:51] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2022/07/17 00:04:02] - 0 	 94.8 	 	 36.3 	 	 0.1000 	 1.9611 	 0.2963 	 2.2101 	 	 0.1927 	 	 1.8192 	 0.3604 	 2.0233 	 	 0.2592
[2022/07/17 00:06:26] - 1 	 106.5 	 	 37.2 	 	 0.1000 	 1.7770 	 0.3697 	 2.0395 	 	 0.2417 	 	 1.6822 	 0.4112 	 1.9524 	 	 0.2686
[2022/07/17 00:08:47] - 2 	 104.3 	 	 35.8 	 	 0.1000 	 1.7008 	 0.4015 	 1.9929 	 	 0.2568 	 	 1.6365 	 0.4317 	 1.9069 	 	 0.2974
[2022/07/17 00:11:08] - 3 	 105.5 	 	 35.8 	 	 0.1000 	 1.6442 	 0.4241 	 1.9583 	 	 0.2686 	 	 1.5747 	 0.4694 	 1.8789 	 	 0.3013
[2022/07/17 00:13:31] - 4 	 106.6 	 	 35.8 	 	 0.1000 	 1.5973 	 0.4463 	 1.9283 	 	 0.2795 	 	 1.5402 	 0.4645 	 1.8650 	 	 0.3018
[2022/07/17 00:15:53] - 5 	 104.7 	 	 37.2 	 	 0.1000 	 1.5615 	 0.4599 	 1.9051 	 	 0.2861 	 	 1.5202 	 0.4642 	 1.8550 	 	 0.3061
[2022/07/17 00:18:16] - 6 	 106.6 	 	 36.0 	 	 0.1000 	 1.5270 	 0.4759 	 1.8834 	 	 0.2936 	 	 1.4224 	 0.5109 	 1.8008 	 	 0.3241
[2022/07/17 00:20:43] - 7 	 109.2 	 	 37.1 	 	 0.1000 	 1.5000 	 0.4886 	 1.8681 	 	 0.2983 	 	 1.4409 	 0.5057 	 1.8024 	 	 0.3220
[2022/07/17 00:23:06] - 8 	 106.7 	 	 36.9 	 	 0.1000 	 1.4808 	 0.4967 	 1.8565 	 	 0.3038 	 	 1.4412 	 0.5258 	 1.7818 	 	 0.3438
[2022/07/17 00:25:27] - 9 	 104.3 	 	 35.9 	 	 0.1000 	 1.4602 	 0.5075 	 1.8441 	 	 0.3061 	 	 1.4560 	 0.4983 	 1.8271 	 	 0.3176
[2022/07/17 00:27:47] - 10 	 105.1 	 	 35.3 	 	 0.1000 	 1.4491 	 0.5130 	 1.8367 	 	 0.3099 	 	 1.3829 	 0.5293 	 1.7628 	 	 0.3436
[2022/07/17 00:30:07] - 11 	 103.9 	 	 36.1 	 	 0.1000 	 1.4325 	 0.5205 	 1.8278 	 	 0.3141 	 	 1.3734 	 0.5387 	 1.7769 	 	 0.3401
[2022/07/17 00:32:28] - 12 	 103.6 	 	 36.6 	 	 0.1000 	 1.4206 	 0.5272 	 1.8188 	 	 0.3177 	 	 1.3762 	 0.5406 	 1.7549 	 	 0.3465
[2022/07/17 00:34:48] - 13 	 104.1 	 	 36.1 	 	 0.1000 	 1.4055 	 0.5331 	 1.8108 	 	 0.3199 	 	 1.3456 	 0.5439 	 1.7379 	 	 0.3535
[2022/07/17 00:37:08] - 14 	 103.7 	 	 35.9 	 	 0.1000 	 1.4002 	 0.5361 	 1.8069 	 	 0.3224 	 	 1.4063 	 0.5166 	 1.7626 	 	 0.3467
[2022/07/17 00:39:29] - 15 	 103.6 	 	 37.5 	 	 0.1000 	 1.3930 	 0.5386 	 1.8025 	 	 0.3232 	 	 1.3200 	 0.5450 	 1.7609 	 	 0.3390
[2022/07/17 00:41:49] - 16 	 103.7 	 	 36.2 	 	 0.1000 	 1.3881 	 0.5437 	 1.8025 	 	 0.3217 	 	 1.3177 	 0.5611 	 1.7326 	 	 0.3576
[2022/07/17 00:44:09] - 17 	 103.9 	 	 36.1 	 	 0.1000 	 1.3794 	 0.5442 	 1.7941 	 	 0.3275 	 	 1.3042 	 0.5479 	 1.7524 	 	 0.3407
[2022/07/17 00:46:30] - 18 	 103.1 	 	 37.9 	 	 0.1000 	 1.3707 	 0.5513 	 1.7911 	 	 0.3275 	 	 1.3356 	 0.5464 	 1.7256 	 	 0.3588
[2022/07/17 00:48:50] - 19 	 103.1 	 	 35.9 	 	 0.1000 	 1.3676 	 0.5533 	 1.7877 	 	 0.3302 	 	 1.3364 	 0.5650 	 1.7358 	 	 0.3560
