[2022/07/17 00:03:48] - Namespace(attack='none', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../../cifar-data', epochs=100, epsilon=8, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='./results/716_17_nt_res34nose/', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='res34_nose', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2022/07/17 00:03:59] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2022/07/17 00:04:23] - 0 	 21.8 	 	 2.5 	 	 0.1000 	 2.5344 	 0.1672 	 2.6390 	 	 0.1582 	 	 1.9375 	 0.2589 	 1.9375 	 	 0.2589
[2022/07/17 00:04:47] - 1 	 21.6 	 	 2.4 	 	 0.1000 	 1.7676 	 0.3209 	 1.8034 	 	 0.3087 	 	 1.6074 	 0.3820 	 1.6074 	 	 0.3820
[2022/07/17 00:05:12] - 2 	 21.6 	 	 2.5 	 	 0.1000 	 1.5375 	 0.4253 	 1.5871 	 	 0.4055 	 	 1.5239 	 0.4309 	 1.5239 	 	 0.4309
[2022/07/17 00:05:36] - 3 	 21.3 	 	 2.4 	 	 0.1000 	 1.3327 	 0.5142 	 1.3989 	 	 0.4880 	 	 1.2239 	 0.5533 	 1.2239 	 	 0.5533
[2022/07/17 00:05:59] - 4 	 20.3 	 	 2.2 	 	 0.1000 	 1.1550 	 0.5883 	 1.2392 	 	 0.5565 	 	 1.1182 	 0.6083 	 1.1182 	 	 0.6083
[2022/07/17 00:06:21] - 5 	 19.2 	 	 2.3 	 	 0.1000 	 1.0573 	 0.6268 	 1.1504 	 	 0.5912 	 	 1.0700 	 0.6197 	 1.0700 	 	 0.6197
[2022/07/17 00:06:41] - 6 	 17.5 	 	 2.3 	 	 0.1000 	 0.9647 	 0.6619 	 1.0654 	 	 0.6259 	 	 0.9491 	 0.6687 	 0.9491 	 	 0.6687
[2022/07/17 00:07:05] - 7 	 21.0 	 	 2.2 	 	 0.1000 	 0.8808 	 0.6956 	 0.9892 	 	 0.6550 	 	 0.8827 	 0.6930 	 0.8827 	 	 0.6930
[2022/07/17 00:07:28] - 8 	 20.8 	 	 2.3 	 	 0.1000 	 0.8345 	 0.7148 	 0.9485 	 	 0.6725 	 	 0.9560 	 0.6689 	 0.9560 	 	 0.6689
[2022/07/17 00:07:50] - 9 	 19.8 	 	 2.1 	 	 0.1000 	 0.7959 	 0.7271 	 0.9159 	 	 0.6794 	 	 0.8649 	 0.7111 	 0.8649 	 	 0.7111
[2022/07/17 00:08:14] - 10 	 21.2 	 	 2.3 	 	 0.1000 	 0.7648 	 0.7397 	 0.8875 	 	 0.6906 	 	 0.8402 	 0.7113 	 0.8402 	 	 0.7113
[2022/07/17 00:08:38] - 11 	 21.4 	 	 2.1 	 	 0.1000 	 0.7316 	 0.7528 	 0.8563 	 	 0.7034 	 	 0.9346 	 0.6766 	 0.9346 	 	 0.6766
[2022/07/17 00:09:00] - 12 	 19.7 	 	 1.7 	 	 0.1000 	 0.7145 	 0.7603 	 0.8411 	 	 0.7106 	 	 0.7831 	 0.7278 	 0.7831 	 	 0.7278
[2022/07/17 00:09:23] - 13 	 20.9 	 	 2.3 	 	 0.1000 	 0.6893 	 0.7701 	 0.8174 	 	 0.7195 	 	 0.7618 	 0.7338 	 0.7618 	 	 0.7338
[2022/07/17 00:09:46] - 14 	 20.5 	 	 2.3 	 	 0.1000 	 0.6610 	 0.7776 	 0.7931 	 	 0.7255 	 	 0.8053 	 0.7231 	 0.8053 	 	 0.7231
[2022/07/17 00:10:11] - 15 	 22.9 	 	 2.3 	 	 0.1000 	 0.6527 	 0.7821 	 0.7862 	 	 0.7293 	 	 0.7921 	 0.7215 	 0.7921 	 	 0.7215
[2022/07/17 00:10:34] - 16 	 20.4 	 	 2.2 	 	 0.1000 	 0.6356 	 0.7900 	 0.7699 	 	 0.7369 	 	 0.7582 	 0.7416 	 0.7582 	 	 0.7416
[2022/07/17 00:10:58] - 17 	 20.8 	 	 2.3 	 	 0.1000 	 0.6327 	 0.7908 	 0.7678 	 	 0.7372 	 	 0.7870 	 0.7296 	 0.7870 	 	 0.7296
