[2022/07/16 13:47:11] - Namespace(attack='none', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../../cifar-data', epochs=100, epsilon=8, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='./results/716_1_nt_res18/', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='res18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2022/07/16 13:47:14] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2022/07/16 13:47:40] - 0 	 23.5 	 	 2.0 	 	 0.1000 	 1.7574 	 0.3538 	 1.8285 	 	 0.3340 	 	 1.4257 	 0.4769 	 1.4257 	 	 0.4769
[2022/07/16 13:48:05] - 1 	 23.5 	 	 2.0 	 	 0.1000 	 1.2587 	 0.5419 	 1.3366 	 	 0.5123 	 	 1.1943 	 0.5694 	 1.1943 	 	 0.5694
[2022/07/16 13:48:31] - 2 	 23.6 	 	 2.0 	 	 0.1000 	 0.9850 	 0.6500 	 1.0763 	 	 0.6159 	 	 0.9992 	 0.6403 	 0.9992 	 	 0.6403
[2022/07/16 13:48:57] - 3 	 23.5 	 	 2.0 	 	 0.1000 	 0.8351 	 0.7085 	 0.9313 	 	 0.6711 	 	 0.8609 	 0.6980 	 0.8609 	 	 0.6980
[2022/07/16 13:49:23] - 4 	 23.6 	 	 2.0 	 	 0.1000 	 0.7020 	 0.7582 	 0.8071 	 	 0.7169 	 	 0.8473 	 0.7065 	 0.8473 	 	 0.7065
[2022/07/16 13:49:49] - 5 	 23.6 	 	 2.0 	 	 0.1000 	 0.5966 	 0.7984 	 0.7062 	 	 0.7537 	 	 0.6967 	 0.7565 	 0.6967 	 	 0.7565
[2022/07/16 13:50:14] - 6 	 23.6 	 	 2.0 	 	 0.1000 	 0.5154 	 0.8294 	 0.6266 	 	 0.7818 	 	 0.6167 	 0.7877 	 0.6167 	 	 0.7877
[2022/07/16 13:50:40] - 7 	 23.6 	 	 2.0 	 	 0.1000 	 0.4634 	 0.8487 	 0.5814 	 	 0.8002 	 	 0.5548 	 0.8136 	 0.5548 	 	 0.8136
[2022/07/16 13:51:06] - 8 	 23.7 	 	 2.1 	 	 0.1000 	 0.4129 	 0.8676 	 0.5368 	 	 0.8151 	 	 0.5393 	 0.8114 	 0.5393 	 	 0.8114
[2022/07/16 13:51:32] - 9 	 23.6 	 	 2.0 	 	 0.1000 	 0.3889 	 0.8755 	 0.5164 	 	 0.8196 	 	 0.5598 	 0.8112 	 0.5598 	 	 0.8112
[2022/07/16 13:51:58] - 10 	 23.7 	 	 2.0 	 	 0.1000 	 0.3650 	 0.8852 	 0.4978 	 	 0.8311 	 	 0.5631 	 0.8070 	 0.5631 	 	 0.8070
[2022/07/16 13:52:24] - 11 	 23.7 	 	 2.0 	 	 0.1000 	 0.3440 	 0.8928 	 0.4764 	 	 0.8363 	 	 0.5824 	 0.8031 	 0.5824 	 	 0.8031
[2022/07/16 13:52:49] - 12 	 23.7 	 	 2.0 	 	 0.1000 	 0.3300 	 0.8987 	 0.4662 	 	 0.8397 	 	 0.5010 	 0.8267 	 0.5010 	 	 0.8267
[2022/07/16 13:53:15] - 13 	 23.6 	 	 2.0 	 	 0.1000 	 0.3126 	 0.9058 	 0.4480 	 	 0.8475 	 	 0.4700 	 0.8387 	 0.4700 	 	 0.8387
[2022/07/16 13:53:41] - 14 	 23.6 	 	 2.0 	 	 0.1000 	 0.2991 	 0.9102 	 0.4356 	 	 0.8514 	 	 0.4735 	 0.8343 	 0.4735 	 	 0.8343
[2022/07/16 13:54:07] - 15 	 23.6 	 	 2.0 	 	 0.1000 	 0.2865 	 0.9147 	 0.4271 	 	 0.8543 	 	 0.8357 	 0.7429 	 0.8357 	 	 0.7429
[2022/07/16 13:54:33] - 16 	 23.6 	 	 2.1 	 	 0.1000 	 0.2784 	 0.9172 	 0.4180 	 	 0.8566 	 	 0.4820 	 0.8351 	 0.4820 	 	 0.8351
[2022/07/16 13:54:58] - 17 	 23.6 	 	 2.0 	 	 0.1000 	 0.2725 	 0.9220 	 0.4150 	 	 0.8586 	 	 0.4972 	 0.8331 	 0.4972 	 	 0.8331
[2022/07/16 13:55:24] - 18 	 23.6 	 	 2.0 	 	 0.1000 	 0.2617 	 0.9244 	 0.4017 	 	 0.8623 	 	 0.5910 	 0.8027 	 0.5910 	 	 0.8027
[2022/07/16 13:55:50] - 19 	 23.6 	 	 2.0 	 	 0.1000 	 0.2631 	 0.9229 	 0.4055 	 	 0.8608 	 	 0.4670 	 0.8437 	 0.4670 	 	 0.8437
[2022/07/16 13:56:16] - 20 	 23.7 	 	 2.1 	 	 0.1000 	 0.2462 	 0.9296 	 0.3861 	 	 0.8675 	 	 0.4540 	 0.8489 	 0.4540 	 	 0.8489
[2022/07/16 13:56:42] - 21 	 23.7 	 	 2.0 	 	 0.1000 	 0.2424 	 0.9310 	 0.3844 	 	 0.8678 	 	 0.4881 	 0.8374 	 0.4881 	 	 0.8374
[2022/07/16 13:57:07] - 22 	 23.6 	 	 2.0 	 	 0.1000 	 0.2390 	 0.9321 	 0.3827 	 	 0.8698 	 	 0.4860 	 0.8339 	 0.4860 	 	 0.8339
[2022/07/16 13:57:33] - 23 	 23.7 	 	 2.0 	 	 0.1000 	 0.2373 	 0.9318 	 0.3806 	 	 0.8703 	 	 0.4634 	 0.8458 	 0.4634 	 	 0.8458
[2022/07/16 13:57:59] - 24 	 23.6 	 	 2.0 	 	 0.1000 	 0.2309 	 0.9354 	 0.3743 	 	 0.8728 	 	 0.4787 	 0.8377 	 0.4787 	 	 0.8377
[2022/07/16 13:58:24] - 25 	 23.6 	 	 2.0 	 	 0.1000 	 0.2301 	 0.9353 	 0.3767 	 	 0.8713 	 	 0.3895 	 0.8677 	 0.3895 	 	 0.8677
[2022/07/16 13:58:50] - 26 	 23.6 	 	 2.0 	 	 0.1000 	 0.2199 	 0.9384 	 0.3608 	 	 0.8767 	 	 0.4236 	 0.8530 	 0.4236 	 	 0.8530
[2022/07/16 13:59:16] - 27 	 23.6 	 	 2.0 	 	 0.1000 	 0.2192 	 0.9396 	 0.3619 	 	 0.8763 	 	 0.4221 	 0.8545 	 0.4221 	 	 0.8545
[2022/07/16 13:59:42] - 28 	 23.6 	 	 2.0 	 	 0.1000 	 0.2190 	 0.9388 	 0.3639 	 	 0.8743 	 	 0.4481 	 0.8491 	 0.4481 	 	 0.8491
